Origin,Season,Baking,Variety,MOISTURE,T-N,TFAA,THEANINE,NDF-ASH,TANNIN,CATECHIN,CAFFEINE,T.V.C
O3,S3,,V1,0.0275,0.0335,0.0000,0.0000,0.2810,0.1755,0.1750,0.0290,0.0022
O3,S3,,V1,0.0220,0.0330,0.0040,0.0000,0.2795,0.1650,0.1675,0.0280,0.0025
O3,S3,,V4,0.0175,0.0345,0.0050,0.0005,0.2880,0.1475,0.1535,0.0305,0.0012
O4,S3,,V1,0.0515,0.0365,0.0060,0.0010,0.2800,0.1625,0.1655,0.0300,0.0021
O4,S3,,V2+V1,0.0490,0.0340,0.0045,0.0005,0.2860,0.1630,0.1645,0.0285,0.0024
O4,S3,,V1,0.0170,0.0320,0.0010,0.0000,0.2895,0.1645,0.1660,0.0255,0.0028
O4,S3,,V1,0.0300,0.0370,0.0070,0.0015,0.2635,0.1580,0.1630,0.0315,0.0020
O4,S3,,V2+V1,0.0220,0.0350,0.0095,0.0030,0.2805,0.1450,0.1505,0.0250,0.0027
O5,S3,,V1+V2,0.0380,0.0365,0.0075,0.0015,0.2760,0.1570,0.1600,0.0280,0.0023
O5,S3,,V2+V2+V1,0.0410,0.0370,0.0110,0.0045,0.2880,0.1355,0.1460,0.0285,0.0017
